Temporada_Local,Jornada,Fecha,Tipo_Local,Equipo_Local,Marcador_Local,Marcador_Visitante,Equipo_Visita,Tipo_Visita
2000-2001,1,9/9/2000,Local,Barcelona,2,1,Málaga,Visitante
2000-2001,1,9/9/2000,Local,Deportivo de La Coruña,2,0,Athletic Club,Visitante
2000-2001,1,9/9/2000,Local,Real Sociedad,2,2,Racing de Santander,Visitante
2000-2001,1,9/9/2000,Local,Real Madrid,2,1,Valencia,Visitante
2000-2001,1,9/9/2000,Local,Real Zaragoza,1,2,Espanyol,Visitante
2000-2001,1,9/10/2000,Local,Las Palmas,0,3,Alavés,Visitante
2000-2001,1,9/10/2000,Local,Mallorca,1,1,Valladolid,Visitante
2000-2001,1,9/10/2000,Local,Numancia,1,0,Real Oviedo,Visitante
2000-2001,1,9/10/2000,Local,Osasuna,0,2,Celta de Vigo,Visitante
2000-2001,1,9/10/2000,Local,Villarreal,1,5,Rayo Vallecano,Visitante
2000-2001,2,9/16/2000,Local,Athletic Club,3,1,Barcelona,Visitante
2000-2001,2,9/16/2000,Local,Málaga,3,3,Real Madrid,Visitante
2000-2001,2,9/16/2000,Local,Racing de Santander,0,3,Deportivo de La Coruña,Visitante
2000-2001,2,9/16/2000,Local,Valencia,4,0,Mallorca,Visitante
2000-2001,2,9/16/2000,Local,Valladolid,2,0,Numancia,Visitante
2000-2001,2,9/17/2000,Local,Celta de Vigo,4,1,Real Sociedad,Visitante
2000-2001,2,9/17/2000,Local,Alavés,0,1,Villarreal,Visitante
2000-2001,2,9/17/2000,Local,Espanyol,1,2,Osasuna,Visitante
2000-2001,2,9/17/2000,Local,Rayo Vallecano,0,0,Real Zaragoza,Visitante
2000-2001,2,9/17/2000,Local,Real Oviedo,2,2,Las Palmas,Visitante
2000-2001,3,9/23/2000,Local,Barcelona,3,1,Racing de Santander,Visitante
2000-2001,3,9/23/2000,Local,Las Palmas,1,1,Valladolid,Visitante
2000-2001,3,9/23/2000,Local,Real Sociedad,1,1,Deportivo de La Coruña,Visitante
2000-2001,3,9/23/2000,Local,Real Madrid,4,1,Athletic Club,Visitante
2000-2001,3,9/23/2000,Local,Real Zaragoza,2,2,Alavés,Visitante
2000-2001,3,9/24/2000,Local,Celta de Vigo,1,0,Espanyol,Visitante
2000-2001,3,9/24/2000,Local,Mallorca,0,1,Málaga,Visitante
2000-2001,3,9/24/2000,Local,Numancia,0,3,Valencia,Visitante
2000-2001,3,9/24/2000,Local,Osasuna,2,2,Rayo Vallecano,Visitante
2000-2001,3,9/24/2000,Local,Villarreal,1,0,Real Oviedo,Visitante
2000-2001,4,9/30/2000,Local,Racing de Santander,0,0,Real Madrid,Visitante
2000-2001,4,10/1/2000,Local,Athletic Club,2,1,Mallorca,Visitante
2000-2001,4,10/1/2000,Local,Alavés,2,0,Osasuna,Visitante
2000-2001,4,10/1/2000,Local,Deportivo de La Coruña,2,0,Barcelona,Visitante
2000-2001,4,10/1/2000,Local,Málaga,1,3,Numancia,Visitante
2000-2001,4,10/1/2000,Local,Rayo Vallecano,3,0,Celta de Vigo,Visitante
2000-2001,4,10/1/2000,Local,Real Oviedo,2,1,Real Zaragoza,Visitante
2000-2001,4,10/1/2000,Local,Valencia,5,1,Las Palmas,Visitante
2000-2001,4,10/1/2000,Local,Valladolid,0,0,Villarreal,Visitante
2000-2001,4,10/18/2000,Local,Espanyol,1,2,Real Sociedad,Visitante
2000-2001,5,10/14/2000,Local,Espanyol,0,0,Rayo Vallecano,Visitante
2000-2001,5,10/14/2000,Local,Las Palmas,2,1,Málaga,Visitante
2000-2001,5,10/14/2000,Local,Real Sociedad,0,6,Barcelona,Visitante
2000-2001,5,10/14/2000,Local,Real Madrid,3,0,Deportivo de La Coruña,Visitante
2000-2001,5,10/14/2000,Local,Villarreal,1,1,Valencia,Visitante
2000-2001,5,10/15/2000,Local,Celta de Vigo,1,1,Alavés,Visitante
2000-2001,5,10/15/2000,Local,Mallorca,2,1,Racing de Santander,Visitante
2000-2001,5,10/15/2000,Local,Numancia,0,0,Athletic Club,Visitante
2000-2001,5,10/15/2000,Local,Osasuna,0,0,Real Oviedo,Visitante
2000-2001,5,10/15/2000,Local,Real Zaragoza,0,0,Valladolid,Visitante
2000-2001,6,10/21/2000,Local,Barcelona,2,0,Real Madrid,Visitante
2000-2001,6,10/21/2000,Local,Deportivo de La Coruña,1,1,Mallorca,Visitante
2000-2001,6,10/21/2000,Local,Valencia,1,0,Real Zaragoza,Visitante
2000-2001,6,10/22/2000,Local,Athletic Club,0,3,Las Palmas,Visitante
2000-2001,6,10/22/2000,Local,Alavés,1,0,Espanyol,Visitante
2000-2001,6,10/22/2000,Local,Málaga,2,1,Villarreal,Visitante
2000-2001,6,10/22/2000,Local,Racing de Santander,4,2,Numancia,Visitante
2000-2001,6,10/22/2000,Local,Rayo Vallecano,4,1,Real Sociedad,Visitante
2000-2001,6,10/22/2000,Local,Real Oviedo,3,1,Celta de Vigo,Visitante
2000-2001,6,10/22/2000,Local,Valladolid,1,1,Osasuna,Visitante
2000-2001,7,10/28/2000,Local,Las Palmas,2,1,Racing de Santander,Visitante
2000-2001,7,10/28/2000,Local,Mallorca,2,0,Barcelona,Visitante
2000-2001,7,10/28/2000,Local,Numancia,1,2,Deportivo de La Coruña,Visitante
2000-2001,7,10/28/2000,Local,Villarreal,0,0,Athletic Club,Visitante
2000-2001,7,10/28/2000,Local,Real Zaragoza,1,1,Málaga,Visitante
2000-2001,7,10/29/2000,Local,Celta de Vigo,2,1,Valladolid,Visitante
2000-2001,7,10/29/2000,Local,Espanyol,2,0,Real Oviedo,Visitante
2000-2001,7,10/29/2000,Local,Osasuna,1,2,Valencia,Visitante
2000-2001,7,10/29/2000,Local,Real Sociedad,1,4,Real Madrid,Visitante
2000-2001,7,10/29/2000,Local,Rayo Vallecano,0,1,Alavés,Visitante
2000-2001,8,10/31/2000,Local,Deportivo de La Coruña,4,0,Las Palmas,Visitante
2000-2001,8,11/1/2000,Local,Athletic Club,1,2,Real Zaragoza,Visitante
2000-2001,8,11/1/2000,Local,Barcelona,1,1,Numancia,Visitante
2000-2001,8,11/1/2000,Local,Alavés,0,1,Real Sociedad,Visitante
2000-2001,8,11/1/2000,Local,Málaga,3,1,Osasuna,Visitante
2000-2001,8,11/1/2000,Local,Racing de Santander,3,1,Villarreal,Visitante
2000-2001,8,11/1/2000,Local,Real Madrid,0,2,Mallorca,Visitante
2000-2001,8,11/1/2000,Local,Real Oviedo,4,1,Rayo Vallecano,Visitante
2000-2001,8,11/1/2000,Local,Valencia,1,0,Celta de Vigo,Visitante
2000-2001,8,11/1/2000,Local,Valladolid,1,1,Espanyol,Visitante
2000-2001,9,11/4/2000,Local,Celta de Vigo,1,0,Málaga,Visitante
2000-2001,9,11/4/2000,Local,Espanyol,1,0,Valencia,Visitante
2000-2001,9,11/4/2000,Local,Las Palmas,0,1,Barcelona,Visitante
2000-2001,9,11/4/2000,Local,Numancia,3,1,Real Madrid,Visitante
2000-2001,9,11/4/2000,Local,Villarreal,3,2,Deportivo de La Coruña,Visitante
2000-2001,9,11/5/2000,Local,Alavés,4,0,Real Oviedo,Visitante
2000-2001,9,11/5/2000,Local,Osasuna,1,1,Athletic Club,Visitante
2000-2001,9,11/5/2000,Local,Real Sociedad,0,1,Mallorca,Visitante
2000-2001,9,11/5/2000,Local,Rayo Vallecano,2,1,Valladolid,Visitante
2000-2001,9,11/5/2000,Local,Real Zaragoza,2,0,Racing de Santander,Visitante
2000-2001,10,11/11/2000,Local,Deportivo de La Coruña,2,0,Real Zaragoza,Visitante
2000-2001,10,11/12/2000,Local,Athletic Club,2,1,Celta de Vigo,Visitante
2000-2001,10,11/12/2000,Local,Barcelona,1,2,Villarreal,Visitante
2000-2001,10,11/12/2000,Local,Málaga,0,0,Espanyol,Visitante
2000-2001,10,11/12/2000,Local,Mallorca,2,1,Numancia,Visitante
2000-2001,10,11/12/2000,Local,Racing de Santander,0,0,Osasuna,Visitante
2000-2001,10,11/12/2000,Local,Real Madrid,5,1,Las Palmas,Visitante
2000-2001,10,11/12/2000,Local,Real Oviedo,1,0,Real Sociedad,Visitante
2000-2001,10,11/12/2000,Local,Valencia,2,2,Rayo Vallecano,Visitante
2000-2001,10,11/12/2000,Local,Valladolid,2,1,Alavés,Visitante
2000-2001,11,11/18/2000,Local,Alavés,1,1,Valencia,Visitante
2000-2001,11,11/18/2000,Local,Las Palmas,1,0,Mallorca,Visitante
2000-2001,11,11/18/2000,Local,Osasuna,1,1,Deportivo de La Coruña,Visitante
2000-2001,11,11/18/2000,Local,Villarreal,0,1,Real Madrid,Visitante
2000-2001,11,11/19/2000,Local,Celta de Vigo,1,1,Racing de Santander,Visitante
2000-2001,11,11/19/2000,Local,Espanyol,2,1,Athletic Club,Visitante
2000-2001,11,11/19/2000,Local,Real Sociedad,4,1,Numancia,Visitante
2000-2001,11,11/19/2000,Local,Rayo Vallecano,4,2,Málaga,Visitante
2000-2001,11,11/19/2000,Local,Real Oviedo,4,1,Valladolid,Visitante
2000-2001,11,11/19/2000,Local,Real Zaragoza,3,1,Barcelona,Visitante
2000-2001,12,11/25/2000,Local,Mallorca,2,1,Villarreal,Visitante
2000-2001,12,11/26/2000,Local,Athletic Club,4,2,Rayo Vallecano,Visitante
2000-2001,12,11/26/2000,Local,Barcelona,2,0,Osasuna,Visitante
2000-2001,12,11/26/2000,Local,Deportivo de La Coruña,1,0,Celta de Vigo,Visitante
2000-2001,12,11/26/2000,Local,Málaga,3,1,Alavés,Visitante
2000-2001,12,11/26/2000,Local,Numancia,0,1,Las Palmas,Visitante
2000-2001,12,11/26/2000,Local,Racing de Santander,1,2,Espanyol,Visitante
2000-2001,12,11/26/2000,Local,Valencia,2,0,Real Oviedo,Visitante
2000-2001,12,11/26/2000,Local,Valladolid,2,1,Real Sociedad,Visitante
2000-2001,12,1/24/2001,Local,Real Madrid,3,0,Real Zaragoza,Visitante
2000-2001,13,12/2/2000,Local,Celta de Vigo,3,3,Barcelona,Visitante
2000-2001,13,12/2/2000,Local,Espanyol,0,2,Deportivo de La Coruña,Visitante
2000-2001,13,12/2/2000,Local,Osasuna,2,3,Real Madrid,Visitante
2000-2001,13,12/2/2000,Local,Rayo Vallecano,4,1,Racing de Santander,Visitante
2000-2001,13,12/2/2000,Local,Valladolid,0,0,Valencia,Visitante
2000-2001,13,12/3/2000,Local,Alavés,2,1,Athletic Club,Visitante
2000-2001,13,12/3/2000,Local,Real Sociedad,1,1,Las Palmas,Visitante
2000-2001,13,12/3/2000,Local,Real Oviedo,3,2,Málaga,Visitante
2000-2001,13,12/3/2000,Local,Villarreal,0,0,Numancia,Visitante
2000-2001,13,12/3/2000,Local,Real Zaragoza,1,1,Mallorca,Visitante
2000-2001,14,12/9/2000,Local,Las Palmas,1,5,Villarreal,Visitante
2000-2001,14,12/9/2000,Local,Numancia,1,1,Real Zaragoza,Visitante
2000-2001,14,12/9/2000,Local,Valencia,2,0,Real Sociedad,Visitante
2000-2001,14,12/10/2000,Local,Athletic Club,4,0,Real Oviedo,Visitante
2000-2001,14,12/10/2000,Local,Barcelona,4,2,Espanyol,Visitante
2000-2001,14,12/10/2000,Local,Deportivo de La Coruña,1,1,Rayo Vallecano,Visitante
2000-2001,14,12/10/2000,Local,Málaga,3,1,Valladolid,Visitante
2000-2001,14,12/10/2000,Local,Mallorca,1,1,Osasuna,Visitante
2000-2001,14,12/10/2000,Local,Racing de Santander,2,1,Alavés,Visitante
2000-2001,14,12/10/2000,Local,Real Madrid,3,0,Celta de Vigo,Visitante
2000-2001,15,12/16/2000,Local,Alavés,3,1,Deportivo de La Coruña,Visitante
2000-2001,15,12/16/2000,Local,Espanyol,1,2,Real Madrid,Visitante
2000-2001,15,12/16/2000,Local,Real Sociedad,0,2,Villarreal,Visitante
2000-2001,15,12/16/2000,Local,Rayo Vallecano,2,2,Barcelona,Visitante
2000-2001,15,12/16/2000,Local,Real Zaragoza,3,1,Las Palmas,Visitante
2000-2001,15,12/17/2000,Local,Celta de Vigo,2,2,Mallorca,Visitante
2000-2001,15,12/17/2000,Local,Osasuna,2,0,Numancia,Visitante
2000-2001,15,12/17/2000,Local,Real Oviedo,1,0,Racing de Santander,Visitante
2000-2001,15,12/17/2000,Local,Valencia,2,0,Málaga,Visitante
2000-2001,15,12/17/2000,Local,Valladolid,0,0,Athletic Club,Visitante
2000-2001,16,12/19/2000,Local,Real Madrid,3,1,Rayo Vallecano,Visitante
2000-2001,16,12/20/2000,Local,Athletic Club,1,1,Valencia,Visitante
2000-2001,16,12/20/2000,Local,Barcelona,3,2,Alavés,Visitante
2000-2001,16,12/20/2000,Local,Deportivo de La Coruña,3,0,Real Oviedo,Visitante
2000-2001,16,12/20/2000,Local,Las Palmas,3,2,Osasuna,Visitante
2000-2001,16,12/20/2000,Local,Málaga,3,0,Real Sociedad,Visitante
2000-2001,16,12/20/2000,Local,Mallorca,3,2,Espanyol,Visitante
2000-2001,16,12/20/2000,Local,Numancia,4,2,Celta de Vigo,Visitante
2000-2001,16,12/20/2000,Local,Racing de Santander,2,2,Valladolid,Visitante
2000-2001,16,12/20/2000,Local,Villarreal,1,1,Real Zaragoza,Visitante
2000-2001,17,1/6/2001,Local,Málaga,2,1,Athletic Club,Visitante
2000-2001,17,1/7/2001,Local,Celta de Vigo,0,1,Las Palmas,Visitante
2000-2001,17,1/7/2001,Local,Alavés,1,3,Real Madrid,Visitante
2000-2001,17,1/7/2001,Local,Espanyol,2,0,Numancia,Visitante
2000-2001,17,1/7/2001,Local,Osasuna,1,0,Villarreal,Visitante
2000-2001,17,1/7/2001,Local,Real Sociedad,1,1,Real Zaragoza,Visitante
2000-2001,17,1/7/2001,Local,Rayo Vallecano,2,2,Mallorca,Visitante
2000-2001,17,1/7/2001,Local,Real Oviedo,2,3,Barcelona,Visitante
2000-2001,17,1/7/2001,Local,Valencia,1,0,Racing de Santander,Visitante
2000-2001,17,1/7/2001,Local,Valladolid,3,1,Deportivo de La Coruña,Visitante
2000-2001,18,1/13/2001,Local,Barcelona,3,1,Valladolid,Visitante
2000-2001,18,1/13/2001,Local,Deportivo de La Coruña,2,0,Valencia,Visitante
2000-2001,18,1/14/2001,Local,Las Palmas,1,0,Espanyol,Visitante
2000-2001,18,1/14/2001,Local,Mallorca,4,3,Alavés,Visitante
2000-2001,18,1/14/2001,Local,Numancia,0,2,Rayo Vallecano,Visitante
2000-2001,18,1/14/2001,Local,Racing de Santander,0,1,Málaga,Visitante
2000-2001,18,1/14/2001,Local,Real Sociedad,0,2,Athletic Club,Visitante
2000-2001,18,1/14/2001,Local,Real Madrid,4,0,Real Oviedo,Visitante
2000-2001,18,1/14/2001,Local,Villarreal,2,0,Celta de Vigo,Visitante
2000-2001,18,1/14/2001,Local,Real Zaragoza,4,2,Osasuna,Visitante
2000-2001,19,1/20/2001,Local,Valencia,0,1,Barcelona,Visitante
2000-2001,19,1/21/2001,Local,Athletic Club,3,1,Racing de Santander,Visitante
2000-2001,19,1/21/2001,Local,Celta de Vigo,1,1,Real Zaragoza,Visitante
2000-2001,19,1/21/2001,Local,Alavés,0,2,Numancia,Visitante
2000-2001,19,1/21/2001,Local,Espanyol,2,1,Villarreal,Visitante
2000-2001,19,1/21/2001,Local,Málaga,1,3,Deportivo de La Coruña,Visitante
2000-2001,19,1/21/2001,Local,Osasuna,1,1,Real Sociedad,Visitante
2000-2001,19,1/21/2001,Local,Rayo Vallecano,1,1,Las Palmas,Visitante
2000-2001,19,1/21/2001,Local,Real Oviedo,1,1,Mallorca,Visitante
2000-2001,19,1/21/2001,Local,Valladolid,2,2,Real Madrid,Visitante
2000-2001,20,1/27/2001,Local,Athletic Club,2,2,Deportivo de La Coruña,Visitante
2000-2001,20,1/27/2001,Local,Espanyol,5,0,Real Zaragoza,Visitante
2000-2001,20,1/27/2001,Local,Málaga,0,0,Barcelona,Visitante
2000-2001,20,1/28/2001,Local,Celta de Vigo,1,0,Osasuna,Visitante
2000-2001,20,1/28/2001,Local,Alavés,1,0,Las Palmas,Visitante
2000-2001,20,1/28/2001,Local,Racing de Santander,1,4,Real Sociedad,Visitante
2000-2001,20,1/28/2001,Local,Rayo Vallecano,0,1,Villarreal,Visitante
2000-2001,20,1/28/2001,Local,Real Oviedo,3,0,Numancia,Visitante
2000-2001,20,1/28/2001,Local,Valencia,0,1,Real Madrid,Visitante
2000-2001,20,1/28/2001,Local,Valladolid,2,0,Mallorca,Visitante
2000-2001,21,2/3/2001,Local,Barcelona,7,0,Athletic Club,Visitante
2000-2001,21,2/4/2001,Local,Deportivo de La Coruña,2,1,Racing de Santander,Visitante
2000-2001,21,2/4/2001,Local,Las Palmas,1,0,Real Oviedo,Visitante
2000-2001,21,2/4/2001,Local,Mallorca,2,2,Valencia,Visitante
2000-2001,21,2/4/2001,Local,Numancia,0,0,Valladolid,Visitante
2000-2001,21,2/4/2001,Local,Osasuna,1,3,Espanyol,Visitante
2000-2001,21,2/4/2001,Local,Real Sociedad,2,2,Celta de Vigo,Visitante
2000-2001,21,2/4/2001,Local,Real Madrid,4,3,Málaga,Visitante
2000-2001,21,2/4/2001,Local,Villarreal,2,0,Alavés,Visitante
2000-2001,21,2/4/2001,Local,Real Zaragoza,6,1,Rayo Vallecano,Visitante
2000-2001,22,2/10/2001,Local,Athletic Club,1,0,Real Madrid,Visitante
2000-2001,22,2/10/2001,Local,Deportivo de La Coruña,4,1,Real Sociedad,Visitante
2000-2001,22,2/10/2001,Local,Espanyol,0,1,Celta de Vigo,Visitante
2000-2001,22,2/10/2001,Local,Rayo Vallecano,2,1,Osasuna,Visitante
2000-2001,22,2/10/2001,Local,Valencia,3,0,Numancia,Visitante
2000-2001,22,2/11/2001,Local,Alavés,1,0,Real Zaragoza,Visitante
2000-2001,22,2/11/2001,Local,Málaga,0,1,Mallorca,Visitante
2000-2001,22,2/11/2001,Local,Racing de Santander,4,0,Barcelona,Visitante
2000-2001,22,2/11/2001,Local,Real Oviedo,1,3,Villarreal,Visitante
2000-2001,22,2/11/2001,Local,Valladolid,1,0,Las Palmas,Visitante
2000-2001,23,2/17/2001,Local,Barcelona,2,3,Deportivo de La Coruña,Visitante
2000-2001,23,2/17/2001,Local,Las Palmas,0,2,Valencia,Visitante
2000-2001,23,2/17/2001,Local,Real Madrid,1,0,Racing de Santander,Visitante
2000-2001,23,2/18/2001,Local,Celta de Vigo,1,1,Rayo Vallecano,Visitante
2000-2001,23,2/18/2001,Local,Mallorca,1,0,Athletic Club,Visitante
2000-2001,23,2/18/2001,Local,Numancia,3,2,Málaga,Visitante
2000-2001,23,2/18/2001,Local,Osasuna,0,1,Alavés,Visitante
2000-2001,23,2/18/2001,Local,Real Sociedad,2,1,Espanyol,Visitante
2000-2001,23,2/18/2001,Local,Villarreal,2,1,Valladolid,Visitante
2000-2001,23,2/18/2001,Local,Real Zaragoza,5,2,Real Oviedo,Visitante
2000-2001,24,2/24/2001,Local,Deportivo de La Coruña,2,2,Real Madrid,Visitante
2000-2001,24,2/25/2001,Local,Athletic Club,3,1,Numancia,Visitante
2000-2001,24,2/25/2001,Local,Barcelona,3,0,Real Sociedad,Visitante
2000-2001,24,2/25/2001,Local,Alavés,2,2,Celta de Vigo,Visitante
2000-2001,24,2/25/2001,Local,Málaga,2,1,Las Palmas,Visitante
2000-2001,24,2/25/2001,Local,Racing de Santander,2,1,Mallorca,Visitante
2000-2001,24,2/25/2001,Local,Rayo Vallecano,1,1,Espanyol,Visitante
2000-2001,24,2/25/2001,Local,Real Oviedo,2,3,Osasuna,Visitante
2000-2001,24,2/25/2001,Local,Valencia,3,1,Villarreal,Visitante
2000-2001,24,2/25/2001,Local,Valladolid,2,0,Real Zaragoza,Visitante
2000-2001,25,3/3/2001,Local,Mallorca,2,1,Deportivo de La Coruña,Visitante
2000-2001,25,3/3/2001,Local,Real Sociedad,2,0,Rayo Vallecano,Visitante
2000-2001,25,3/3/2001,Local,Real Madrid,2,2,Barcelona,Visitante
2000-2001,25,3/3/2001,Local,Real Zaragoza,1,1,Valencia,Visitante
2000-2001,25,3/4/2001,Local,Celta de Vigo,1,0,Real Oviedo,Visitante
2000-2001,25,3/4/2001,Local,Espanyol,0,0,Alavés,Visitante
2000-2001,25,3/4/2001,Local,Las Palmas,0,0,Athletic Club,Visitante
2000-2001,25,3/4/2001,Local,Numancia,1,0,Racing de Santander,Visitante
2000-2001,25,3/4/2001,Local,Osasuna,2,1,Valladolid,Visitante
2000-2001,25,3/4/2001,Local,Villarreal,1,2,Málaga,Visitante
2000-2001,26,3/10/2001,Local,Athletic Club,1,1,Villarreal,Visitante
2000-2001,26,3/10/2001,Local,Deportivo de La Coruña,4,1,Numancia,Visitante
2000-2001,26,3/10/2001,Local,Valencia,1,0,Osasuna,Visitante
2000-2001,26,3/11/2001,Local,Barcelona,1,1,Mallorca,Visitante
2000-2001,26,3/11/2001,Local,Alavés,4,2,Rayo Vallecano,Visitante
2000-2001,26,3/11/2001,Local,Málaga,2,0,Real Zaragoza,Visitante
2000-2001,26,3/11/2001,Local,Racing de Santander,2,1,Las Palmas,Visitante
2000-2001,26,3/11/2001,Local,Real Madrid,4,0,Real Sociedad,Visitante
2000-2001,26,3/11/2001,Local,Real Oviedo,2,2,Espanyol,Visitante
2000-2001,26,3/11/2001,Local,Valladolid,1,2,Celta de Vigo,Visitante
2000-2001,27,3/17/2001,Local,Las Palmas,2,0,Deportivo de La Coruña,Visitante
2000-2001,27,3/18/2001,Local,Celta de Vigo,3,2,Valencia,Visitante
2000-2001,27,3/18/2001,Local,Espanyol,1,0,Valladolid,Visitante
2000-2001,27,3/18/2001,Local,Mallorca,1,0,Real Madrid,Visitante
2000-2001,27,3/18/2001,Local,Numancia,1,1,Barcelona,Visitante
2000-2001,27,3/18/2001,Local,Osasuna,3,3,Málaga,Visitante
2000-2001,27,3/18/2001,Local,Real Sociedad,1,1,Alavés,Visitante
2000-2001,27,3/18/2001,Local,Rayo Vallecano,0,2,Real Oviedo,Visitante
2000-2001,27,3/18/2001,Local,Villarreal,4,2,Racing de Santander,Visitante
2000-2001,27,3/18/2001,Local,Real Zaragoza,2,2,Athletic Club,Visitante
2000-2001,28,3/31/2001,Local,Deportivo de La Coruña,4,2,Villarreal,Visitante
2000-2001,28,3/31/2001,Local,Málaga,1,4,Celta de Vigo,Visitante
2000-2001,28,3/31/2001,Local,Real Madrid,1,0,Numancia,Visitante
2000-2001,28,3/31/2001,Local,Valencia,0,1,Espanyol,Visitante
2000-2001,28,4/1/2001,Local,Athletic Club,0,1,Osasuna,Visitante
2000-2001,28,4/1/2001,Local,Barcelona,4,1,Las Palmas,Visitante
2000-2001,28,4/1/2001,Local,Mallorca,1,1,Real Sociedad,Visitante
2000-2001,28,4/1/2001,Local,Racing de Santander,2,1,Real Zaragoza,Visitante
2000-2001,28,4/1/2001,Local,Real Oviedo,3,3,Alavés,Visitante
2000-2001,28,4/1/2001,Local,Valladolid,1,3,Rayo Vallecano,Visitante
2000-2001,29,4/7/2001,Local,Rayo Vallecano,1,4,Valencia,Visitante
2000-2001,29,4/8/2001,Local,Celta de Vigo,2,1,Athletic Club,Visitante
2000-2001,29,4/8/2001,Local,Alavés,4,2,Valladolid,Visitante
2000-2001,29,4/8/2001,Local,Espanyol,1,2,Málaga,Visitante
2000-2001,29,4/8/2001,Local,Las Palmas,0,1,Real Madrid,Visitante
2000-2001,29,4/8/2001,Local,Numancia,0,2,Mallorca,Visitante
2000-2001,29,4/8/2001,Local,Osasuna,1,1,Racing de Santander,Visitante
2000-2001,29,4/8/2001,Local,Real Sociedad,3,0,Real Oviedo,Visitante
2000-2001,29,4/8/2001,Local,Villarreal,4,4,Barcelona,Visitante
2000-2001,29,4/8/2001,Local,Real Zaragoza,2,1,Deportivo de La Coruña,Visitante
2000-2001,30,4/14/2001,Local,Barcelona,4,4,Real Zaragoza,Visitante
2000-2001,30,4/14/2001,Local,Deportivo de La Coruña,2,1,Osasuna,Visitante
2000-2001,30,4/14/2001,Local,Real Madrid,4,0,Villarreal,Visitante
2000-2001,30,4/14/2001,Local,Valencia,1,2,Alavés,Visitante
2000-2001,30,4/15/2001,Local,Athletic Club,0,1,Espanyol,Visitante
2000-2001,30,4/15/2001,Local,Málaga,1,1,Rayo Vallecano,Visitante
2000-2001,30,4/15/2001,Local,Mallorca,2,1,Las Palmas,Visitante
2000-2001,30,4/15/2001,Local,Numancia,3,3,Real Sociedad,Visitante
2000-2001,30,4/15/2001,Local,Racing de Santander,3,0,Celta de Vigo,Visitante
2000-2001,30,4/15/2001,Local,Valladolid,1,0,Real Oviedo,Visitante
2000-2001,31,4/21/2001,Local,Celta de Vigo,2,1,Deportivo de La Coruña,Visitante
2000-2001,31,4/22/2001,Local,Alavés,1,2,Málaga,Visitante
2000-2001,31,4/22/2001,Local,Espanyol,3,0,Racing de Santander,Visitante
2000-2001,31,4/22/2001,Local,Las Palmas,1,1,Numancia,Visitante
2000-2001,31,4/22/2001,Local,Osasuna,3,1,Barcelona,Visitante
2000-2001,31,4/22/2001,Local,Real Sociedad,3,1,Valladolid,Visitante
2000-2001,31,4/22/2001,Local,Rayo Vallecano,1,2,Athletic Club,Visitante
2000-2001,31,4/22/2001,Local,Real Oviedo,0,0,Valencia,Visitante
2000-2001,31,4/22/2001,Local,Villarreal,2,2,Mallorca,Visitante
2000-2001,31,4/22/2001,Local,Real Zaragoza,2,3,Real Madrid,Visitante
2000-2001,32,4/28/2001,Local,Real Madrid,1,1,Osasuna,Visitante
2000-2001,32,4/28/2001,Local,Valencia,1,0,Valladolid,Visitante
2000-2001,32,4/29/2001,Local,Athletic Club,2,0,Alavés,Visitante
2000-2001,32,4/29/2001,Local,Barcelona,1,1,Celta de Vigo,Visitante
2000-2001,32,4/29/2001,Local,Deportivo de La Coruña,1,0,Espanyol,Visitante
2000-2001,32,4/29/2001,Local,Las Palmas,2,1,Real Sociedad,Visitante
2000-2001,32,4/29/2001,Local,Málaga,2,2,Real Oviedo,Visitante
2000-2001,32,4/29/2001,Local,Mallorca,2,1,Real Zaragoza,Visitante
2000-2001,32,4/29/2001,Local,Numancia,1,3,Villarreal,Visitante
2000-2001,32,4/29/2001,Local,Racing de Santander,1,1,Rayo Vallecano,Visitante
2000-2001,33,5/5/2001,Local,Celta de Vigo,3,0,Real Madrid,Visitante
2000-2001,33,5/5/2001,Local,Espanyol,0,0,Barcelona,Visitante
2000-2001,33,5/5/2001,Local,Real Sociedad,1,2,Valencia,Visitante
2000-2001,33,5/6/2001,Local,Alavés,5,1,Racing de Santander,Visitante
2000-2001,33,5/6/2001,Local,Osasuna,1,0,Mallorca,Visitante
2000-2001,33,5/6/2001,Local,Rayo Vallecano,1,1,Deportivo de La Coruña,Visitante
2000-2001,33,5/6/2001,Local,Real Oviedo,5,0,Athletic Club,Visitante
2000-2001,33,5/6/2001,Local,Valladolid,0,0,Málaga,Visitante
2000-2001,33,5/6/2001,Local,Villarreal,2,1,Las Palmas,Visitante
2000-2001,33,5/6/2001,Local,Real Zaragoza,3,1,Numancia,Visitante
2000-2001,34,5/11/2001,Local,Deportivo de La Coruña,2,1,Alavés,Visitante
2000-2001,34,5/12/2001,Local,Villarreal,1,3,Real Sociedad,Visitante
2000-2001,34,5/13/2001,Local,Athletic Club,1,1,Valladolid,Visitante
2000-2001,34,5/13/2001,Local,Barcelona,5,1,Rayo Vallecano,Visitante
2000-2001,34,5/13/2001,Local,Las Palmas,2,1,Real Zaragoza,Visitante
2000-2001,34,5/13/2001,Local,Málaga,3,0,Valencia,Visitante
2000-2001,34,5/13/2001,Local,Mallorca,2,0,Celta de Vigo,Visitante
2000-2001,34,5/13/2001,Local,Numancia,1,0,Osasuna,Visitante
